"Name","Pop 22","Pop 23","Capital","Area","Continent","Region"
"India","1417173173","1428627663","New Delhi","2973190.0","Asia","South Asia"
"China","1425887337","1425671352","Beijing","9326410.0","Asia","East Asia"
"United States","338289857","339996564","Washington, D.C.","9147593.0","North America","North America"
"Indonesia","275501339","277534123","Jakarta","1811569.0","Asia","Southeast Asia"
"Pakistan","235824862","240485658","Islamabad","857143.0","Asia","South Asia"
"Nigeria","218541212","223804632","Abuja","910770.0","Africa","West Africa"
"Brazil","215313498","216422446","Brasília","8460415.0","South America","South America"
"Bangladesh","171186373","172954319","Dhaka","130170.0","Asia","South Asia"
"Russia","144713314","144444359","Moscow","16376870.0","Europe","Eastern Europe"
"Mexico","127504126","128455567","Mexico City","1943950.0","North America","Central America"
"Ethiopia","123379925","126527060","Addis Ababa","1096570.0","Africa","East Africa"
"Japan","123951692","123294513","Tokyo","364485.0","Asia","East Asia"
"Philippines","115559009","117337368","Manila","298170.0","Asia","Southeast Asia"
"Egypt","110990103","112716599","Cairo","995450.0","Africa","North Africa"
"Democratic Republic of the Congo","99010212","102262809","Kinshasa","2267048.0","Africa","Central Africa"
"Vietnam","98186856","98858950","Hanoi","313429.0","Asia","Southeast Asia"
"Iran","88550570","89172767","Tehran","1531595.0","Asia","South Asia"
"Turkey","85341241","85816199","Ankara","769632.0","Asia","West Asia"
"Germany","83369843","83294633","Berlin","349390.0","Europe","Western Europe"
"Thailand","71697030","71801279","Bangkok","510890.0","Asia","Southeast Asia"
"United Kingdom","67508936","67736802","London","242741.0","Europe","Northern Europe"
"Tanzania","65497748","67438106","Dodoma","885800.0","Africa","East Africa"
"France","64626628","64756584","Paris","543940.0","Europe","Western Europe"
"South Africa","59893886","60414495","Bloemfontein","1214470.0","Africa","Southern Africa"
"Italy","59037474","58870763","Rome","295717.0","Europe","Southern Europe"
"Kenya","54027487","55100587","Nairobi","569140.0","Africa","East Africa"
"Myanmar","54179306","54577997","Naypyidaw","653508.0","Asia","Southeast Asia"
