"Name";"Population";"Continent";"Capital"
"China";"1402218920";"Asia";"Beijing"
"India";"1361060375";"Asia";"Delhi"
"United States";"329630405";"North America";"Washington DC"
"Indonesia";"266911900";"Asia";"Jakarta"
"Pakistan";"219291520";"Asia";"Islamabad"
"Brazil";"211394082";"South America";"Brazilia"
"Nigeria";"206139587";"Africa";"Lagos"
"Bangladesh";"168445058";"Asia";"Dacca"
"Russia";"146745098";"Europe";"Moscow"
"Mexico";"126577691";"North America";"Mexico City"
"Japan";"125950000";"Asia";"Tokyo"
"Philippines";"108543662";"Asia";"Manila"
"Egypt";"100251150";"Africa";"Cairo"
"Ethiopia";"98665000";"Africa";"Addis Ababa"
"Vietnam";"96208984";"Asia";"Hanoi"
"DR Congo";"89561404";"Africa";"Kinshasa"
"Iran";"83366530";"Asia";"Tehran"
"Turkey";"83154997";"Asia";"Ankara"
"Germany";"83149300";"Europe";"Berlin"
"France";"67076000";"Europe";"Paris"
"Thailand";"66493642";"Asia";"Bangkok"
"United Kingdom";"66435550";"Europe";"London"
"Italy";"60238522";"Europe";"Rome"
"South Africa";"58775022";"Africa";"Pretoria"
"Tanzania";"55890747";"Africa";"Dodoma"
"Myanmar";"54339766";"Asia";"Naypyidaw"
"South Korea";"51780579";"Asia";"Seoul"
"Colombia";"49395678";"South America";"Bogotá"
"Kenya";"47564296";"Africa";"Nairobi"
"Spain";"47100396";"Europe";"Madrid"
"Argentina";"44938712";"South America";"Buenos Aires"
"Algeria";"43000000";"Africa";"Algiers"
"Sudan";"42427395";"Africa";"Khartoum"
"Ukraine";"41879904";"Europe";"Kyiv"
"Uganda";"40299300";"Africa";"Kampala"
"Iraq";"39127900";"Asia";"Baghdad"
"Poland";"38379000";"Europe";"Warsaw"
"Canada";"37994299";"North America";"Ottawa"
"Morocco";"35869239";"Africa";"Rabat"
"Saudi Arabia";"34218169";"Asia";"Riyadh"
"Uzbekistan";"34127907";"Asia";"Tashkent"
"Malaysia";"32750760";"Asia";"Kuala Lumpur"
"Afghanistan";"32225560";"Asia";"Kabul"
"Venezuela";"32219521";"South America";"Caracas"
"Peru";"32131400";"South America";"Lima"
"Angola";"31127674";"Africa";"Luanda"
"Ghana";"30280811";"Africa";"Accra"
"Mozambique";"30066648";"Africa";"Maputo"
"Nepal";"29996478";"Asia";"Kathmandu"
"Yemen";"29825968";"Asia";"Sana'a"
"Cameroon";"26545864";"Africa";"Yaoundé"
"Madagascar";"26251309";"Africa";"Antananarivo"
"Ivory Coast";"25823071";"Africa";"Yamoussoukro"
"Australia";"25678709";"Oceania";"Canberra"
"North Korea";"25450000";"Asia";"Pyong Yang"
"Niger";"22314743";"Africa";"Niamey"
"Sri Lanka";"21803000";"Asia";"Colombo"
"Burkina Faso";"20870060";"Africa";"Ouagadougou"
"Mali";"20250833";"Africa";"Bamako"
"Romania";"19405156";"Europe";"Bucharest"
"Malawi";"19129952";"Africa";"Lilongwe"
"Chile";"19107216";"South America";"Santiago"
"Kazakhstan";"18682480";"Asia";"Astana"
"Zambia";"17885422";"Africa";"Lusaka"
"Syria";"17500657";"Asia";"Damacus"
"Ecuador";"17465512";"South America";"Quito"
"Netherlands";"17455581";"Europe";"The Hague"
"Guatemala";"16604026";"North America";"Guatemala City"
"Chad";"16244513";"Africa";"N'Djamena"
"Senegal";"16209125";"Africa";"Dakar"
"Somalia";"15893219";"Africa";"Mogadishu"
"Cambodia";"15288489";"Asia";"Phnom Penh"
"Zimbabwe";"15159624";"Africa";"Harare"
"South Sudan";"12778250";"Africa";"Juba"
"Rwanda";"12374397";"Africa";"Kigali"
"Guinea";"12218357";"Africa";"Conakry"
"Benin";"11733059";"Africa";"Porto-Novo"
"Tunisia";"11722038";"Africa";"Tunis"
"Haiti";"11577779";"North America";"Port-au-Prince"
"Belgium";"11524454";"Europe";"Brussels"
"Bolivia";"11469896";"South America";"Sucre"
"Cuba";"11209628";"North America";"Havana"
"Burundi";"10953317";"Africa";"Gitega"
"Greece";"10724599";"Europe";"Athens"
"Czech Republic";"10693939";"Europe";"Prague"
"Jordan";"10658808";"Asia";"Amman"
"Sweden";"10540886";"Europe";"Stockholm"
"Dominican Republic";"10358320";"North America";"Santo Domingo"
"Portugal";"10276617";"Europe";"Lisbon"
"Azerbaijan";"10067108";"Asia";"Baku"
"United Arab Emirates";"9890400";"Africa";"Abu Dhabi"
"Hungary";"9772756";"Europe";"Budapest"
"Belarus";"9408400";"Europe";"Minsk"
"Israel";"9185850";"Asia";"Jerusalem"
"Honduras";"9158345";"South America";"Comayagüela"
"Tajikistan";"9127000";"Asia";"Dushanbe"
"Papua New Guinea";"8935000";"Oceania";"Port Moresby"
"Austria";"8902600";"Europe";"Vienna"
"Switzerland";"8603900";"Europe";"Bern"
"Sierra Leone";"7901454";"Africa";"Freetown"
"Togo";"7538000";"Africa";"Lomé"
"Paraguay";"7152703";"South America";"Asunción"
"Laos";"7123205";"Asia";"Vientiane"
"Bulgaria";"7000039";"Europe";"Sofia"
"Serbia";"6963764";"Europe";"Belgrade"
"Libya";"6871287";"Africa";"Tripoli"
"Lebanon";"6825442";"Asia";"Beirut"
"Kyrgyzstan";"6533500";"Asia";"Bishkek"
"El Salvador";"6486201";"North America";"San Salvador"
"Nicaragua";"6460411";"North America";"Managua"
"Turkmenistan";"6031187";"Asia";"Ashgabat"
"Denmark";"5822763";"Europe";"Copenhagen"
"Singapore";"5703600";"Asia";"Singapore"
"Finland";"5527573";"Europe";"Helsinki"
"Congo";"5518092";"Africa";"Brazzaville"
"Central African Republic";"5496011";"Africa";"Bangui"
"Slovakia";"5456362";"Europe";"Bratislava"
"Norway";"5367580";"Europe";"Oslo"
"Costa Rica";"5058007";"North America";"San José"
"New Zealand";"4978279";"Oceania";"Wellington"
"Palestine";"4976684";"Asia";"Jerusalem"
"Ireland";"4921500";"Europe";"Dublin"
"Oman";"4664790";"Asia";"Aden"
"Liberia";"4475353";"Africa";"Freetown"
"Kuwait";"4420110";"Asia";"Kuwait City"
"Panama";"4218808";"North America";"Panama City"
"Mauritania";"4077347";"Africa";"Nouakchott"
"Croatia";"4076246";"Europe";"Zagreb"
"Georgia";"3723464";"Asia";"Tbilisi"
"Uruguay";"3518552";"South America";"Montevideo"
"Eritrea";"3497117";"Africa";"Asmara"
"Mongolia";"3312721";"Asia";"Ulaanbaatar"
"Bosnia and Herzegovina";"3301000";"Europe";"Sarajevo"
"Armenia";"2957500";"Asia";"Yerevan"
"Albania";"2845955";"Europe";"Tirana"
"Lithuania";"2793471";"Europe";"Vilnius"
"Qatar";"2747282";"Asia";"Doha"
"Jamaica";"2726667";"North America";"Kingston"
"Moldova";"2681735";"Europe";"Chișinău"
"Namibia";"2458936";"Africa";"Chișinău"
"Gambia";"2347706";"Africa";"Banjul"
"Botswana";"2338851";"Africa";"Gaborone"
"Gabon";"2172579";"Africa";"Libreville"
"Slovenia";"2094060";"Europe";"Ljubljana"
"North Macedonia";"2077132";"Europe";"Skopje"
"Lesotho";"2007201";"Africa";"Maseru"
"Latvia";"1906800";"Europe";"Riga"
"Guinea-Bissau";"1604528";"Africa";"Bissau"
"Bahrain";"1543300";"Asia";"Manama"
"East Timor";"1387149";"Asia";"Dili"
"Trinidad and Tobago";"1363985";"South America";"Port of Spain"
"Equatorial Guinea";"1358276";"Africa";"Malabo"
"Estonia";"1328360";"Europe";"Tallinn"
"Mauritius";"1265985";"Africa";"Port Louis"
"Eswatini";"1093238";"Africa";"Lobamba"
"Djibouti";"1078373";"Asia";"Djibouti"
"Fiji";"884887";"Oceania";"Suva"
"Cyprus";"875900";"Asia";"Nicosia"
"Comoros";"873724";"Africa";"Moroni"
"Guyana";"782766";"South America";"Georgetown"
"Bhutan";"741672";"Asia";"Thimphu"
"Solomon Islands";"680806";"Oceania";"Honiara"
"Montenegro";"622359";"Europe";"Podgorica"
"Luxembourg";"626108";"Europe";"Luxembourg"
"Suriname";"581372";"South America";"Paramaribo"
"Cabo Verde";"550483";"Africa";"Praia"
"Malta";"493559";"Europe";"Valetta"
"Brunei";"442400";"Asia";"Bandar Seri Begawan"
"Belize";"408487";"North America";"Belmopan"
"Bahamas";"385340";"North America";"Nassau"
"Maldives";"374775";"Asia";"Malé"
"Iceland";"364260";"Europe";"Reykjavík"
"Vanuatu";"304500";"Oceania";"Port Vila"
"Barbados";"287025";"North America";"Bridgetown"
"São Tomé and Príncipe";"201784";"Africa";"São Tomé"
"Samoa";"200874";"Oceania";"Apia"
"Saint Lucia";"178696";"North America";"Castries"
"Kiribati";"120100";"Oceania";"South Tarawa"
"Grenada";"112003";"South America";"St. George's"
"Saint Vincent and the Grenadines";"110608";"North America";"Kingstown"
"F.S. Micronesia";"104468";"Oceania";"Palikir"
"Tonga";"100651";"Oceania";"Nukuʻalofa"
"Seychelles";"97625";"Africa";"Victoria"
"Antigua and Barbuda";"96453";"North America";"St. John's"
"Andorra";"77543";"Europe";"Andorra la Vella"
"Dominica";"71808";"North America";"Roseau"
"Marshall Islands";"55500";"Oceania";"Majuro"
"Saint Kitts and Nevis";"52823";"North America";"Basseterre"
"Liechtenstein";"38749";"Europe";"Basseterre"
"Monaco";"38300";"Europe";"Monaco"
"San Marino";"33574";"Europe";"San Marino"
"Palau";"17900";"Oceania";"Ngerulmud"
"Nauru";"11000";"Oceania";"Yaren"
"Tuvalu";"10200";"Oceania";"Funafuti"
"Vatican City";"799";"Europe";"Vatican City"
